Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,DEC 2022,JAN 2023,FEB 2023,MAR 2023,APR 2023,MAY 2023,JUN 2023,JULY 2023,AUG 2023,SEP 2023,OCT 2023,NOV 2023,ANNUAL TOTAL,,,,,
CRUISE LLC,AVDT005,5G21A6P05P4144038,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21A6P02L4100010,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21A6P00P4119581,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21A6P01P4128919,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21A6P03P4144040,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21A6P02L4100136,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21A6P05P4173250,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21A6P09P4100074,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21A6P04P4152728,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21A6P09P4180217,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21A6P0XP4125159,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21A6P06P4163066,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21A6P02P4152730,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21A6P07P4156417,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21A6P06P4133307,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21A6P09P4165510,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21A6P03P4162652,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21A6P06P4169059,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21D6SJ3P70005EX,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21D6SJXP70010EX,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21D6SJ2P70031EX,0,0.00,0.00,0.00,0.00,0.00,0.00,41.90,81.05,19.58,10.53,27.04,0.00,180.10,,,,,
CRUISE LLC,AVDT005,5G3LD1SJ4R7100001,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.35,0.00,0.00,0.00,0.00,71.35,,,,,
CRUISE LLC,AVDT005,5G3LD1SJ5R7100007,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G3LD1SJ9R7100012,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G3LD1SJXR7100021,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G3LD1SJ8R7100020,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G3LD1SJ2R7100028,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G3LD1SJ2R7100027,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Nuro Inc,AVDT002,1N90NUR08KR385012,0,0,0,0,0,0,0,37.86,91.65,0,0,92.71,0,222.22,,,,,
Nuro Inc,AVDT002,1N90NUR01KR385014,0,0,33.91,45.49,24.28,122.41,0,0,0,0,0,0,0,226.09,,,,,
Nuro Inc,AVDT002,1N90NUR03KR385015,0,18.09,73.52,0,0,0,6.1,0,71.93,23.76,0,26.89,0,220.29,,,,,
Nuro Inc,AVDT002,1N90NUR07KR385017,0,50.86,47.16,57.21,51.43,149.92,0,0,0,0,0,0,0,356.58,,,,,
Nuro Inc,AVDT002,1N90NUR09KR385018,0,0,0,0,0,0,0,0,20.72,0,0,0,0,20.72,,,,,
Nuro Inc,AVDT002,1N90NUR09KR385021,0,33.97,63.24,147.75,0,38.47,0,0,0,0,0,0,0,283.43,,,,,
Nuro Inc,AVDT002,1N90NUR08KR385026,0,0,50.53,63.79,35.11,137.67,0,0,0,0,0,0,0,287.1,,,,,
Nuro Inc,AVDT002,1N90NUR01KR385028,0,0,0,0,0,0,0,30.64,120.49,97.71,39.65,130.06,0,418.55,,,,,
Nuro Inc,AVDT002,1N90NUR0XKR385030,0,0,0,0,0,0,0,38.6,8,71.3,19.51,71.42,0,208.83,,,,,
Waymo LLC,AVDT001,SADHW2S14M1602343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S1XM1602587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S11M1602073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S16M1602621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S19M1602659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S16M1602666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S1XM1602685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S10M1602680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S19M1602693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S15M1602691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S1XM1602668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S18M1602698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S13M1602673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S11M1602641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S1XM1602735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S15M1602674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S12M1602700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S13M1602740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S15M1602660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S1XM1602671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S11M1602705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S16M1602683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S1XM1602704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S10M1602694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S12M1602695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S13M1602690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S14M1602682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S11M1602669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S11M1606219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S17M1606225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S18M1606251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S1XM1606137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S1XM1605876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S13M1606173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S12M1606200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S15M1605896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S16M1606166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S16M1605972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S15M1606191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S19M1614102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S18M1614303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S14M1614346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S13M1614368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S1XM1614335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
