Section 1 Manufacturers information. enter manufacturer's NAME,Business,Date_of_Accident,Time_of_accident,Location,city,county,state,zip,Operator
,Cruise,2023-05-01,2:44 PM,36th Ave and Lincoln Way,San Francisco,San Francisco,CA,94122,Cruise LLC
,Cruise,2023-05-04,9:32 PM,1798 Franklin St,San Francisco,San Francisco,CA,94109,Cruise LLC
Cruise LLC,Cruise,2021-05-17,1:27 PM,1201 Guerrero St,San Francisco,San Francisco,CA,94110,
Cruise LLC,Cruise,2021-05-31,09:37 PM,1418 7th Av,San Francisco,San Francisco,CA,94112,
,Cruise,2022-06-29,10:49 PM,835 Clement Street,San Francisco,San Francisco,CA,94118,Cruise LLC
,Cruise,2021-07-10,06:06 PM,2500 Clement St.,San Francisco,San Francisco,CA,94121,Cruise LLC
,Cruise,2022-07-14,2:57 PM,3597 Mission St,San Francisco,San Francisco,CA,94110,Cruise LLC
,Cruise,2021-07-15,9:38 PM,1500 McAllister St.,San Francisco,San Francisco,CA,94115,Cruise LLC
,Cruise,2022-07-16,10:46 PM,700 Parnassus Ave,San Francisco,San Francisco,CA,94122,Cruise LLC
,Cruise,2022-07-18,01:39 PM,1561 16th Ave,San Francisco,San Francisco,CA,94122,Cruise LLC
,Cruise,2021-07-26,01:15 PM,900 Blk Howard St,San Francisco,San Francisco,CA,94103,Cruise LLC
,Cruise,2021-08-02,12:58 PM,2200 Blk Balboa St,San Francisco,San Francisco,CA,94121,Cruise LLC
,Cruise,2022-08-02,07:04 PM,38 The Embarcadero S,San Francisco,San Francisco,CA,94105,Cruise LLC
Cruise LLC,Cruise,2020-08-04,3:53 PM,2700 San Jose Ave,San Francisco,San Francisco,CA,94112,
Cruise LLC,Cruise,2020-08-09,3:48 PM,Potrero Ave. and 17th St.,San Francisco,San Francisco,CA,94110,
Cruise LLC,Cruise,2020-08-15,10:19 PM,Turk St. and Steiner St.,San Francisco,San Francisco,CA,95115,
,Cruise,2021-08-28,21:05 PM,900 Steiner St,San Francisco,San Francisco,CA,94117,Cruise LLC
,Cruise,2021-08-30,08:40 PM,1096 Fulton St,San Francisco,San Francisco,CA,94117,Cruise LLC
Cruise LLC,Cruise,2020-09-16,09:09 PM,9th St and Folsom St,San Francisco,San Francisco,CA,94103,
,Cruise,2021-10-02,01:56 PM,700 Capp St,San Francisco,San Francisco,CA,94110,Cruise LLC
Cruise LLC,Cruise,2020-10-09,1:08 PM,4960 Mission St,San Francisco,San Francisco,CA,94112,
Cruise LLC,Cruise,2019-10-17,1:05 PM,Hyde St. and Sutter St.,San Francisco,San Francisco,CA,94109,
Cruise LLC,Cruise,2020-10-24,4:40 PM,2398 17 St,San Francisco,San Francisco,CA,94110,
Cruise LLC,Cruise,2020-10-25,4:28 PM,1128 Balboa St,San Francisco,San Francisco,CA,94118,
Cruise LLC,Cruise,2019-10-26,11:05 PM,The Embarcadero and Battery St.,San Francisco,San Francisco,CA,94111,
Cruise LLC,Cruise,2019-10-27,1:50 PM,15 Marina Blvd,San Francisco,San Francisco,CA,94123,
Cruise LLC,Cruise,2019-10-28,2:42 PM,Howard St. and 9th St.,San Francisco,San Francisco,CA,94103,
Cruise LLC,Cruise,2019-10-29,7:52 PM,Beach St. and The Embarcadero,San Francisco,San Francisco,CA,,
Cruise LLC,Cruise,2019-11-07,8:35 PM,King St. between 2nd St. and 3rd St.,San Francisco,San Francisco,CA,,
Cruise LLC,Cruise,2019-11-07,9:10 PM,24th St. and Mission St.,San Francisco,San Francisco,CA,94110,
Cruise LLC,Cruise,2019-11-09,9:59 PM,Howard St. and 11th St.,San Francisco,San Francisco,CA,94103,
Cruise LLC,Cruise,2019-11-10,12:55 PM,1499 Vallejo St.,San Francisco,San Francisco,CA,94109,
,Cruise,2021-11-15,08:44 PM,4485 17th St,San Francisco,San Francisco,CA,94114,Cruise LLC
Cruise LLC,Cruise,2019-11-18,9:45 PM,13th St. and Bryant St.,San Francisco,San Francisco,CA,94103,
Cruise LLC,Cruise,2019-11-25,7:00 PM,California St. and Hyde St.,San Francisco,San Francisco,CA,94109,
Cruise LLC,Cruise,2019-11-29,10:41 PM,Embarcadero St. and Washington St.,San Francisco,San Francisco,CA,94105,
Cruise LLC,Cruise,2019-12-08,9:14 PM,30th Avenue and California Street,San Francisco,San Francisco,CA,94121,
Cruise LLC,Cruise,2019-12-13,7:55 PM,Bryant St. and Delancey St.,San Francisco,San Francisco,CA,94107,
,Cruise,2022-12-14,11:51 PM,1774 Sacramento St,San Francisco,San Francisco,CA,94109,Cruise LLC
,Cruise,2022-12-18,11:23 PM,847 Divisadero St,San Francisco,San Francisco,CA,94117,Cruise LLC
Cruise LLC,Cruise,2019-12-19,10:27 PM,Post St. and Leavenworth St.,San Francisco,San Francisco,CA,94109,
,Cruise,2022-12-21,08:50 PM,410 Brannan St,San Francisco,San Francisco,CA,94107,Cruise LLC
Cruise LLC,Cruise,2019-12-27,4:56 PM,850 Stanyan St.,San Francisco,San Francisco,CA,94117,
,Cruise,2022-06-17,7:53 PM,2502 Leavenworth Street,San Francisco,San Francisco,CA,94133,Cruise LLC
,Cruise,2021-09-25,10:56 PM,3100 3rd St,San Francisco,San Francisco,CA,94124,Cruise LLC
Waymo LLC,Waymo LLC,2020-06-15,01:20 PM,Alma Street at Alma Village Circle,Palo Alto,Santa Clara,CA,94306,
,same,2023-08-14,2:20 PM,900 Villa St.,Mountain View,Santa Clara,CA,94041,Ghost Autonomy Inc.
,Ghost Autonomy Inc.,2022-10-07,11:45 PM,Main Street (East of Navy Way),Alameda,,CA,94501,Ghost Autonomy Inc.
,Ghost Autonomy Inc.,2024-01-11,4:48 PM,HWY 17 Northbound near Hamman Park,San Jose,Santa Clara,CA,95128,Ghost Autonomy Inc.
GM Cruise LLC,Cruise,2019-01-07,06:54 PM,Folsom St. and 11th St.,San Francisco,San Francisco,CA,94103,
GM Cruise LLC,Cruise,2019-01-10,11:29 PM,S. Van Ness Ave between 12th St. and 13th St.,San Francisco,San Francisco,CA,94103,
GM Cruise LLC,Cruise,2019-02-14,5:30 PM,Gough St. and Fell St.,San Francisco,San Francisco,CA,94102,
GM Cruise LLC,Cruise,2019-02-27,6:04 PM,Gough St. and Rose St.,San Francisco,San Francisco,CA,94102,
GM Cruise LLC,Cruise,2019-03-08,1:29 PM,16th St. and Guerrero St.,San Francisco,San Francisco,CA,94103,
GM Cruise LLC,Cruise,2019-03-23,05:28 PM,Eddy St. and Leavenworth St.,San Francisco,San Francisco,CA,94109,
GM Cruise LLC,Cruise,2019-03-24,10:50 PM,11th St. and Folsom St.,San Francisco,San Francisco,CA,94103,
GM Cruise LLC,Cruise,2019-04-03,8:32 PM,Portrero Avenue and Alameda Street,San Francisco,San Francisco,CA,94103,
GM Cruise LLC,Cruise,2019-04-10,10:38 PM,Franklin St. between Olive St and Ellis St.,San Francisco,San Francisco,CA,94109,
GM Cruise LLC,Cruise,2019-04-10,4:52 PM,Lyon St. and California St.,San Francisco,San Francisco,CA,94115,
GM Cruise LLC,Cruise,2019-04-14,4:38 PM,36th Ave between Balboa St. and Anza St.,San Francisco,San Francisco,CA,94121,
GM Cruise LLC,Cruise,2019-04-14,11:45 PM,Mason St. between Yacht Rd. and Javowitz St.,San Francisco,San Francisco,CA,94123,
GM Cruise LLC,Cruise,2019-05-02,11:01 PM,24th St. and Potrero Ave,San Francisco,San Francisco,CA,94110,
GM Cruise LLC,Cruise,2019-05-04,4:39 PM,Larkin St. and McAllister St.,San Francisco,San Francisco,CA,94102,
GM Cruise LLC,Cruise,2019-05-04,10:56 PM,Duboce Ave between Steiner St and Sanchez St,San Francisco,San Francisco,CA,94114,
GM Cruise LLC,Cruise,2019-05-08,08:55 PM,Franklin St. and Bay St.,San Francisco,San Francisco,CA,94123,
GM Cruise LLC,Cruise,2019-05-13,12:32 PM,Filmore St. and Fell St.,San Francisco,San Francisco,CA,94117,
GM Cruise LLC,Cruise,2019-05-18,7:31 PM,Euclid Ave. and Palm Ave.,San Francisco,San Francisco,CA,94118,
GM Cruise LLC,Cruise,2019-05-24,7:36 PM,Geary Blvd between 8th Ave and 9th Ave,San Francisco,San Francisco,CA,94118,
GM Cruise LLC,Cruise,2019-06-08,09:02 PM,Clay St. and Van Ness Ave.,San Francisco,San Francisco,CA,94109,
GM Cruise LLC,Cruise,2019-06-12,12:47 PM,Folsom St between 13th St and 12th St,San Francisco,San Francisco,CA,94103,
GM Cruise LLC,Cruise,2019-06-13,4:47 PM,Divisadero St. and Bush St.,Ssan Francisco,San Francisco,CA,94115,
